Column1,Customer Name,Date,Reviews,คอลัมน์1,หัวข้อ
1,ชัยวัฒน์, - 7/30/2022 20:04:03,"ขึ้นสถานะส่งสินค้าเรียบร้อย
ถามหน่อยนะมึงไปส่งให้ใครเพราะกูยังไม่ได้รับของเลยการทำงานบริการแบบยังจะมีคนไปใช้บริการอีกหรอครับถ้าจะให้ส่งสินค้าแบบนี้ไม่ต่างจากการหลอกลวงประชาชนที่ไปใช้บริการในเมื่อไม่พร้อมให้บริการก็ปิดตัวเถอะครับเพราะสินค้าเขาส่งเสียเงินกันไม่ได้ส่งฟรีนะผมจะเอาเรื่องฝห้ถึงที่สุดนะครับเพราะผมยังไม่ได้รับพัสดุแต่ทางไปรษณีย์ได้ลงสถานะว่าจำจ่ายสำเร็จซื้งส่งสินด้วยไม่มีผู้เซ็นรับและปิดงานด้วยไม่มีรับเพราะผมไม่ได้รับพัสดุเลยซักชิ้นแบบนี้ไม่ต่างมิจฉาชีพนะเฟรดดีเลแบบนี้ต้องทำไงครับ",neg,การบริการ
3,เอกสุพรรณบุรี, - 7/27/2022 8:14:17,เช็คพัสดุส่งวันที่25/7/65วันที่27/7/65เข้าไปเช็คอีกยังอยู่ที่เดิม สงสัยรอน้ำมันลงอยู่มั้ง,neg,การบริการ
4,อนุชา, - 7/23/2022 18:30:26,"เบอร์โทรอยู่หน้ากล่องตั้ง2เบอร์ไม่โทรหา
แล้วลงสถานะส่งไม่สำเร็จ คนรับเป็นคนเสียค่าส่งเองด้วย ควรบริการให้ดีกว่านี้",neg,การบริการ
24,ติดต่อกลับได้นะ ไม่บอก.ส่งของก่อไม่ถึง.แล้วก้อไห้เราติดตามเอาเองบ้่, - 11/8/2021 10:32:21,ไม่ดีที่สุดตังแต่ผมส่งของมาไม่มีที่ไหนแย่เท่าไปรษณีย์ไทยแล้ว สาขา.รามคำแหง182. ส่งของแบบบ้าๆๆส่งของไปไม่ถึงแต่ไม่มีไครรับของ.บอกว่ามีคนรับเเล้ว.ไห้เราไปตามเอาของเองมึงบ้าติ.,neg,การบริการ
60,เบญจมาศกมลชิด, - 9/5/2021 10:32:59,เข้าใจสถานการณ์นะว่าช่วงนี้ขนส่งงานเยอะ แต่เบอร์โทรสำนักงานควรจะติดต่อได้ มีผู้รับสายเพื่อผู้รับจะไปติดต่อรับพัสดุที่ไปรษณีย์เอง แต่ติดต่อไม่ได้ไม่มีผู้รับสายเลย มีแต่เสียงตอบรับอัตโมัติและก็ตัดสายไป #ปณ.จตุจักร,neg,การบริการ
77,สาวิตรี, - 9/3/2021 21:30:15,ห่วยแตกค่ะ,neg,การบริการ
174,ไม่จำเป็น, - 8/26/2021 11:45:47,ระบบบริการแย่มากๆๆๆๆๆๆๆๆๆๆๆๆ ตรวจสอบพัสดุถึง ศป.ลำพูนตั้งแต่ 19/08/64 จนวันนี้ 26/08/64 ก็ยังไม่ได้รับพัสดุ ติดต่อไม่ได้ไม่หือไม่อือ โทรไม่ติด อะไรสักอย่าง พนง.น้อย หรือตายกลางอากาศคะ บริการช้าเกินกว่ากำหนดแบบนี้ อยากให้ใส่ใจกับการทำงานกันด้วยนะคะ ไม่พร้อมทำงานหรือให้บริการอย่าทำ เสียดายต้องมารอ,neg,การบริการ
214,นายณัฐ?พล? , - 8/21/2021 11:58:55,ควรปรับปรุง?,neg,การบริการ
216,พระอาท, - 8/21/2021 10:52:38,ทำไมไม่โทรหาที่จะส่งก่อน,neg,การบริการ
239,ขอบคุณ, - 8/18/2021 12:47:21,โทรตามพัสดุทางไปรษณีย์ไทยหาดใหญ่ติดยากมาก,neg,การบริการ
335,มโนปา , - 8/9/2021 14:08:21,แย่,neg,การบริการ
341,ไม่ใส่, - 8/9/2021 9:32:14,โทรเช็คพัสดุเมื่อเช้าบอกยังไม่เปิดให้บริการเปิด08:00 โทรอีกที09:30 คือโทรไม่ติดเฉยเลยคือไร งงกับบริการไปรษณีย์,neg,การบริการ
347,ธรรมนูญ, - 8/6/2021 17:05:57,ห่วยแตก ถ้าให้0ดาวได้จะดีมาก,neg,การบริการ
354,ณัฐพล หิรัญวงษ์, - 8/6/2021 9:55:23,ติดต่อสอบถามยากมาก,neg,การบริการ
378,คนมหาเฮง, - 8/4/2021 17:03:16,ควรพัฒนา,neg,การบริการ
424,สุนิสา, - 8/1/2021 9:07:32,ยังไม่ได้รับของ,neg,การบริการ
428,ยังไม่ได้รับ, - 7/31/2021 22:56:26,ยังไม่ได้รับ,neg,การบริการ
447,เนตรนภา, - 7/30/2021 15:44:09,ติดตามของก็ช้า ของติดเป็นอาทิตย์ยังไม่ถึงลูกค้าเลยจ้า,neg,การบริการ
566,ตาช, - 7/18/2021 12:10:44,แย่มาก,neg,การบริการ
601,ขนิษฐา, - 7/16/2021 11:01:47,โทรไม่รับ ไม่มีของส่ง emsควรได้ภายใน1-2 วัน,neg,การบริการ
650,เค, - 7/14/2021 12:34:41,ห่วย,neg,การบริการ
687,xxxx, - 7/12/2021 10:02:07,ไม่เคยโทรหาลูกค้า,neg,การบริการ
705,รวีวรรณ, - 7/9/2021 15:00:32,แย่มากค่ะ ส่งผลไม้ถึงช้าขนาดนี้คงเน่าก่อนมั้งค่ะตรวจสอบไม่ได้โทรไปไม่รับสายบริการแย่นะค่ะ,neg,การบริการ
711,-, - 7/9/2021 11:13:37,บริการล่าช้า,neg,การบริการ
11,??, - 6/24/2022 13:29:10,อยู่นครราชสีมาเเต่ไปส่งสงขลา ส่งให้ใครก็ไม่รู้ตอนนี้ก็ยังไม่ได้รับของ,neg,ความปลอดภัยพัสดุ
14,Onthida, - 6/4/2022 9:43:50,ของหาย!!! มาส่งของแต่ไม่โทรหาผู้รับ แต่สถานะขึ้นว่าส่งแล้ว ทั้งที่ยังไม่ได้เซ็นรับของ แย่มาก ทำงานแบบส่งๆ,neg,ความปลอดภัยพัสดุ
15,555, - 5/30/2022 14:51:05,ยังไม่ได้รับของนะคะ เอาของไปส่งให้ใคร,neg,ความปลอดภัยพัสดุ
16,จิราวรรณ เถียรสูงเนิน, - 2/25/2022 15:09:49,7 วันแล้วยังไม่ได้ของเลย ติดต่อจากไหนได้บ้าง เอกสารสำคัญค่ะ  ไม่มีพนักงานโทรมาสอบถามอะไรเลย แล้วแบบนี้จะติดต่อคนส่งของยังงัย เช้คพัสดุ บอกว่า  นำจ่ายไม่สำเร็จ บอกบ้านปิดแล้วทำไมไม่โทมาคะ ที่จัดส่งเป็นอพาทเม้นค่ะ ทำไมไม่โทรหาคะ  เอกสารสำคัญค่ะ,neg,ความปลอดภัยพัสดุ
42,บุษบา, - 9/7/2021 7:05:23,กล่องบุบ,neg,ความปลอดภัยพัสดุ
167,ธนัชชา, - 8/26/2021 15:15:13,ไม่ได้รับของเป็นเช็คด้วยใครรับก็ไม่รู้ส่งมั่วไปไหน เช็คตั้งแต่เดือนเมษายน จนมีข้อความมาให้เอาเช็คเข้าบัญชีถึงรู้ว่ามีจดหมายมา,neg,ความปลอดภัยพัสดุ
176,ธนกฤต สนามพล, - 8/26/2021 11:14:45,ของพังชิบหายหมด สาขาบางละมุงไป กทม หนองจอกเมื่อวายขนาดมีป้ายบอกต้นไม้,neg,ความปลอดภัยพัสดุ
178,นายอรรณพ ชูภักตร์, - 8/26/2021 8:52:22,ไม่แนนอนว่าถึงวันไหน บางครั้งของเสียหาย,neg,ความปลอดภัยพัสดุ
471,วรรณี, - 7/28/2021 10:40:36,ส่งของไม่ได้ครบ,neg,ความปลอดภัยพัสดุ
491,ดวง, - 7/26/2021 15:59:25,ของมักเสียหาย แตกบ่อย ปรับปรุงการส่ง,neg,ความปลอดภัยพัสดุ
585,อัมรินทร์ มั่นคง, - 7/16/2021 15:14:04,ส่งของไปเเต่ทางบ้านไม่ได้รับของเเต่บอกว่าของส่งสำเสร็จเเล้วคุณจะรับผิดชอบยังไร,neg,ความปลอดภัยพัสดุ
18,เขมจิรา  คุ้มศา, - 2/8/2022 10:55:59,เจ้าหน้าที่บางคนพูดจาด้วยน้ำเสียงไม่ดี,neg,พนักงาน
129,น้ำค้าง, - 8/28/2021 19:11:36,ไม่พอใจนะคะ มาส่งของเเล้วบอกบ้านปิด มือถือก็ไม่โทรบอกเเล้วบ้านก็มีคนอยู่ตลอด มาบอกบ้านปิด เอกสารอะไรก็ไม่ได้เเจ้งไว้ว่าให้ไปรับของที่ไหน งง กับการบริการในครั้งนี้มากๆค่ะ,neg,พนักงาน
379,เม, - 8/4/2021 16:28:23,ไปรษณีย์บางละมุง ห่วยแตกมากคะ ไปส่งของที่ไม่ใช่คนเป็นเจ้าของ ให้คนอื่นยิมยอมเซ็นมั่วๆใช้ไม่ได้ ดีที่กูเอ๊ะใจเลยเดินไปถามถึงได้ของ ดีที่เค้ายังไม่แกะ เพราะของข้างในมันมูลค่า ถ้าเป็นอื่นแม่งคงเอาไปแล้ว แล้วใครแม่งจะรับผิดชอบ โทรไปถามทางไปรษณีย์ยังจะมีหน้าบอกให้กูเดินไปถามยัง มันเป็นน่าที่รับผิดชอบมึงไม่ใช่หรอ สัส พาขึ้น,neg,พนักงาน
574,ศิรัฐชนากร, - 7/17/2021 15:30:47,ส่งของไม่โทรแจ้งคนรับแล้วจะไปรู้ชาติไหนว่าของมาแล้ว,neg,พนักงาน
9,คมสันชัย สุขพิพัฒน์มงคล, - 6/28/2022 21:23:50,ค้นหาพัสดุ ไม่ได้ แย่ครับ,neg,ระบบ
17,เดชา ภูทัดดวง, - 2/23/2022 0:14:51,ยังไม่ได้รับของ ระบบแจ้งนำจ่ายสำเร็จ คือใครรับ(ไม่เข้าใจ),neg,ระบบ
19,ประยุทธ์?เองไม่ไช้ไครอื่น, - 1/3/2022 16:41:57,RR009216171TH  ส่งไปเกือบเดือนปลายทางมาเลเซีย?ยังไม่ถึงเลยที่อยู่?ถูก?ต่องทุกอย่างตรวจสอบก็ไม่ได้,neg,ระบบ
21,อภิศรากรณ์, - 12/22/2021 13:56:07,ขึ้น นำจ่ายไม่สำเร็จ รอของมาสองวันแล้ว,neg,ระบบ
22,ศุภณัฐแสงสิน, - 12/20/2021 13:20:36,นำจ่ายไม่สำเร็จคืออ้ะไรครับ,neg,ระบบ
30,ไม่มีอะไรขึ้นมาเลย, - 9/10/2021 14:53:03,เช็คเลขอะไรก็ไม่ได้สักอย่าง,neg,ระบบ
36,นูรอัยนี ภูผา, - 9/7/2021 14:41:48,ไม่ค่อยอัพเดตเลย,neg,ระบบ
55,ไม่เอ่ยนาม, - 9/5/2021 15:34:37,เวลาเช็คสถานะคือไม่อัพเดทเลยมันทำให้ต่างจากบริษัทอื่นอะค่ะ ที่เขาอัพเดทตลอดเวลา อย่างน้อยก็ควรทำตรงนี้ให้ดีขึ้นนะคะ ส่วนคนส่งหลายๆคนชอบโยนของเข้าบ้านค่ะ รบกวนอบรมหน่อยนะคะ สินค้าอาจชำรุดได้,neg,ระบบ
82,ชนัญชิดา, - 9/3/2021 13:26:04,เช็คเลขของไม่ได้ ควรเช้คได้ทุกบริการนะคะ,neg,ระบบ
83,นายกร, - 9/3/2021 11:32:19,ระบบไม่ดี,neg,ระบบ
92,นัฐพงศ์, - 9/2/2021 18:00:54,ข้อมูลไม่ค่อยขึ้น,neg,ระบบ
93,จรีรัตน์, - 9/2/2021 15:43:13,ยุ่งยาก,neg,ระบบ
106,กันตา, - 9/1/2021 10:20:16,เวลาเช็คพัสดุบางชิ้นไปรษณีย์ไม่ค่อยอัพเดทและมาส่งไม่ตรงเวลาที่กำหนดไว้,neg,ระบบ
107,โจ้, - 9/1/2021 8:31:12,งง รับฝากมา 3 วันแล้ว ส่งเถอะ,neg,ระบบ
118,ศิริพร คำเขียว, - 8/30/2021 10:22:38,เช็คพัสดุไม่ได้คะ,neg,ระบบ
139,วราภรณ์, - 8/28/2021 5:15:32,เข้าระบบช้า,neg,ระบบ
163,Non, - 8/27/2021 7:45:18,คือจะส่งมั้ยของเช็คพัสดุก็เช็คไม่ได้เอาเข้าระบบได้ละตั้งแต่เมื่อวานแล้วเสียตังส่งนะไม่ได้ส่งฟรีควรไวกว่านี้,neg,ระบบ
204,Sss, - 8/22/2021 15:15:55,ไม่ค่อยอัพเดทสถานะสินค้า ดำเนินการส่งช้ากว่าปกติ สูงสุด7 วัน แต่นี่ 9 วัน ส่งตั้งแต่วันที่12,neg,ระบบ
206,ดาว, - 8/22/2021 14:01:06,ตอนแจกจ่ายช้ามาก,neg,ระบบ
215,อ้อม วัฒนพงษ์, - 8/21/2021 11:35:30,เข้าถึงเว็บช้า,neg,ระบบ
292,Love , - 8/12/2021 10:15:12,เช็คไม่ได้,neg,ระบบ
342,โอค, - 8/9/2021 9:27:47,ไปรษณีย์  ตั้งแต่วันที่ 7  พึ่งรับเข้าระบบเช็คของวันที่9 มันคืออ่ะไร,neg,ระบบ
357,ชนิสรา บุษยรัตน์, - 8/5/2021 23:22:57,ยังไม่รับของเลยค่ะ แต่ขึ้นนำจำสำเร็จคือไรค่ะงง? รีบปิดงานรึงั้ย?,neg,ระบบ
381,ผกากรอง, - 8/4/2021 14:59:04,ระบบการจัดคิวควรมีความชัดเจน,neg,ระบบ
397,พรพรรณ, - 8/3/2021 13:28:23,ไม่มีโทรศัพท์มาเลยสักสาย แต่ระบบขึ้นว่านำจ่ายไม่สำเร็จ เพราะไม่มีผู้รับสาย/ติดต่อผู้รับสายไม่ได้ รบกวนตรวจสอบดีๆ ก่อนนะคะ,neg,ระบบ
400,มิน, - 8/3/2021 11:00:06,น่าจะมีความระเอียดมากกว่านี้จะได้รู้ว่าอยุ่ส่งนใหนของที่นั้นแล้ว,neg,ระบบ
450,หาเอา, - 7/30/2021 12:57:37,ระบบเว็บโคตรกาก,neg,ระบบ
465,สุภาพร , - 7/29/2021 11:36:44,ติดตามไม่ได้ค่ะ,neg,ระบบ
484,บิล, - 7/27/2021 10:56:34,พัฒนาเวปไซส์,neg,ระบบ
501,สุมาลี, - 7/25/2021 18:22:39,ฝากตั้งแต่ 22 กค จนถึงตอนนี้ 25 กค  ของยังอยู่ที่เดิม ไม่มีการเคลื่อนย้าย  เมื่อไหร่จะพัฒนา หรือมีปัญหาอะไรทำไมไม่บอก ไม่แจ้ง  คนรอก็รอแบบ งงๆ,neg,ระบบ
524,วรรณวิมล, - 7/23/2021 8:44:11,ตรวจสอบวันที่ 23/7/21  ยังไม่มีข้อมูลการขนส่ง update  ตั้งแต่วันที่ 21/7/21,neg,ระบบ
563,จำนวน , - 7/18/2021 18:39:01,หาไม่เจอตาลอด,neg,ระบบ
596,นพดล, - 7/16/2021 12:02:34,ระบบจัดการการส่งพัสดุไม่ดี ส่งของพร้อมกัน ปลายทางที่เดียวกันแต่พัสดุถึงคนละวันกัน,neg,ระบบ
659,ไม่ต้องรู้หรอกครับ, - 7/14/2021 3:39:33,แม่งไม่ขึ้นให้ดูว่าพัสดุถึงไหนแล้วเลขถูกทุกอย่าง,neg,ระบบ
684,อรุณ กุลแดง, - 7/12/2021 13:13:54,เช้คอะไรก้ไม่ได้ ไม่ขึ้น ไม่รู้ว่าพัสดุอยู่ที่ไหน อะไรยังไง เเต่ละวันได้เเต่นั้้งรอรับ,neg,ระบบ
694,อำนวยพร ออมทรัพย์, - 7/10/2021 18:32:19,ยังไม่ได้รับของเลย นำส่งสำเร็จได้ยังไง ไม่มีใครโทรหาซักคน,neg,ระบบ
697,สวย, - 7/10/2021 11:14:58,ปรับปรุงระบบให้ห่วยแตกกว่าเดิมหรอ???,neg,ระบบ
0,สุ, - 8/5/2022 8:12:47,ส่งEMSด่วนบอกถึงรุ่งเช้าแต่ถึงอีกอีกต้องหลายวันถึง ทำมั้ยล่าช้ามาก,neg,ระยะเวลาขนส่ง
2,อนุชิต, - 7/28/2022 18:05:01,แย่ๆๆ ส่งช้ามากตอนนี้ของอยู่ไหนไม่รุ้แต่ขึ้นว่ารับของแล้ว,neg,ระยะเวลาขนส่ง
5,นิษ, - 7/23/2022 8:30:42,ห่วย/ช้า,neg,ระยะเวลาขนส่ง
6,อนันต์, - 7/11/2022 23:30:08,ส่งโคตรช้า,neg,ระยะเวลาขนส่ง
7,A, - 7/6/2022 21:17:02,ส่งช้า เช็คแล้วเช็คอีกอยู่โคราชส่งไปสุรินทร์ส่งไปให้ใครก่อนคะขอถาม ก็รอของไปดิ,neg,ระยะเวลาขนส่ง
8,ณัฐชนม์, - 7/5/2022 11:54:09,"ก็ไม่แปลกใจที่ของจะส่งช้ามากๆ
ขนาดเอกสารส่งไปอีกอำเภอนึงยังเป็นอาทิตย์เลย
#ผมก็อยากให้ทุกคนเลือกเอานะครับถ้าส่งเจ้าอื่นเพิ่มค่าส่งอีกนิดหน่อยส่งไม่ก็วันก็ถึง",neg,ระยะเวลาขนส่ง
12,พรพิทักษ์, - 6/20/2022 11:39:55,ชอบอ้างเหตุผลไม่คิดทางไปษณีลาดพร้าว แต่ที่ไปส่งเขาบอกไม่ปิดผมได้เช็คแล้ว ถ้าเป็นผลไม้คงเน่า,neg,ระยะเวลาขนส่ง
13,-, - 6/14/2022 14:32:34,ช้าที่สุดเท่าที่เคยใช้บริการ ต่อไปคงไม่ไปใช้บริการอีต่อไป,neg,ระยะเวลาขนส่ง
29,สิริภัทร, - 10/1/2021 21:39:52,ส่งของ 5 วันยังไม่ถึงมือผู้รับ,neg,ระยะเวลาขนส่ง
38,กรอรุณ, - 9/7/2021 12:14:33,ช้ามาก,neg,ระยะเวลาขนส่ง
44,วุฒิ, - 9/6/2021 15:59:51,ส่งช้า,neg,ระยะเวลาขนส่ง
53,นิตยากร, - 9/6/2021 7:03:56,สั่งของเป็นอาทิตย์จนป่านนี้ยังไม่ได้ของเลยช้ามากแล้วพนักงานก็ไม่โทรหาเลยซึ่งในพัสดุนั้นเป็นยาด้วย,neg,ระยะเวลาขนส่ง
61,คนสวย, - 9/5/2021 8:12:13,ส่งช้า,neg,ระยะเวลาขนส่ง
62,นภาพร, - 9/4/2021 23:07:27,ช้า,neg,ระยะเวลาขนส่ง
66,สุดารัตน์, - 9/4/2021 18:15:46,ส่งสินค้าช้ามาก,neg,ระยะเวลาขนส่ง
68,สุนทรา, - 9/4/2021 15:51:06,ขนาด ems ยังช้ามากๆเลย เอกชนส่งแบบปกติ ในกทม ไม่เกิน 24 ของถึงมือลูกค้า,neg,ระยะเวลาขนส่ง
87,ช้ามาก, - 9/3/2021 9:11:09,ช้า,neg,ระยะเวลาขนส่ง
88,กี้, - 9/3/2021 9:06:21,ของยังไม่ถึงเลยนานมากแล้ว,neg,ระยะเวลาขนส่ง
94,นิตยา, - 9/2/2021 15:09:23,การจัดส่งค่อนข้างล่าช้า,neg,ระยะเวลาขนส่ง
97,Kay, - 9/2/2021 7:11:23,ส่งช้า,neg,ระยะเวลาขนส่ง
108,Lathapon puyu, - 8/31/2021 20:38:10,ช้าไปนิด,neg,ระยะเวลาขนส่ง
113,สิรินทิพย์, - 8/31/2021 9:03:02,ช้ามากเลยค่ะขึ้นสถานะว่ารับฝากมาหลายวันแล้ว,neg,ระยะเวลาขนส่ง
115,ออย, - 8/30/2021 14:11:20,จัดส่งให้ไวกว่านี้,neg,ระยะเวลาขนส่ง
117,????????, - 8/30/2021 11:20:42,"ช้ามาก ห่วยที่สุด ควรทำให้เร็วกว่านี้นะคะ ขนาดส่งแบบEms 
ทำงานกันช้าขนาดนี้กล้าเปิดขนส่งได้ไง",neg,ระยะเวลาขนส่ง
119,สุชน, - 8/30/2021 9:13:07,ช้า,neg,ระยะเวลาขนส่ง
121,แก้ว, - 8/30/2021 8:55:09,ช้า,neg,ระยะเวลาขนส่ง
122,เอ๋ย, - 8/30/2021 4:13:17,รอของครึ่งเดือน ตามดรื่องก็แล้วอะไรก็แล้ว เสียหายหรือเกิดอะไรขึ้นก็ไม่รับผิดชอบ งั้นจะเก็บค่าส่งทำไมคะ?,neg,ระยะเวลาขนส่ง
131,ป, - 8/28/2021 14:33:04,ส่งช้ามาก สภาพของเยิน,neg,ระยะเวลาขนส่ง
136,Kanjana, - 8/28/2021 10:05:43,ส่งช้ามาก,neg,ระยะเวลาขนส่ง
144,แดงพระนคร, - 8/27/2021 17:51:43,ช้ามาก,neg,ระยะเวลาขนส่ง
149,บี, - 8/27/2021 14:43:01,ช้า,neg,ระยะเวลาขนส่ง
155,แดง, - 8/27/2021 13:10:25,ช้ามาก,neg,ระยะเวลาขนส่ง
160,ผู้รับ, - 8/27/2021 9:36:11,ช้ามากข้ามวันละยังไม่เข้าระบบ,neg,ระยะเวลาขนส่ง
161,วัชรากร, - 8/27/2021 8:46:18,ช้า,neg,ระยะเวลาขนส่ง
166,ดีรวดเร็ว, - 8/26/2021 15:56:19,ส่งของล่าช้าเป็นบางที,neg,ระยะเวลาขนส่ง
168,แสงระวี, - 8/26/2021 14:19:34,ขอมาถึงไปรษณีย์อ่อนนุชแล้วแต่ไม่ยอมเอามาส่ง ทำไม่มาส่งอ่ะ,neg,ระยะเวลาขนส่ง
170,น้ำฟ้า, - 8/26/2021 13:34:23,ช้าไปนิด,neg,ระยะเวลาขนส่ง
175,ระชา  อ่นใจเอื้อ, - 8/26/2021 11:28:10,ทำไมดำเนินการช้า,neg,ระยะเวลาขนส่ง
192,สุกฤษฎิ์, - 8/24/2021 19:09:36,ส่งชัาจังช่วงนี้,neg,ระยะเวลาขนส่ง
193,วรวรรณ, - 8/24/2021 19:05:45,ส่งช้าอยากให้เร็วกว่านี้,neg,ระยะเวลาขนส่ง
201,K, - 8/23/2021 20:16:19,ช้า,neg,ระยะเวลาขนส่ง
212,หาญกล้า, - 8/22/2021 1:16:46,การขนส่ง EMS ช้ามากๆๆๆๆๆๆๆๆ,neg,ระยะเวลาขนส่ง
217,นัยนา, - 8/21/2021 10:33:12,พนักงานรับสินค้าแล้วแต่ไม่นำจ่าย ล่วงเลยเวลามานานมากคืออะไรค่ะ,neg,ระยะเวลาขนส่ง
